Current Company,Current Title,Location,Major,Graduation Year
Amazon,Software Engineer,"Austin, TX",Information Systems,2018
Meta,Data Engineer,"San Jose, CA",Finance,2021
Google,Software Engineer,"San Jose, CA",Information Systems,2018
Tesla,Software Engineer,"Seattle, WA",Marketing,2023
Airbnb,Product Manager,"Cincinnati, OH",Finance,2019
Google,Backend Engineer,"Boston, MA",Business Analytics,2019
Meta,Product Manager,"Houston, TX",Computer Science,2016
Airbnb,Data Engineer,"Houston, TX",Business Analytics,2024
Apple,Software Engineer,"Cincinnati, OH",Finance,2016
Airbnb,Data Engineer,"Austin, TX",Marketing,2024
Stripe,Product Manager,"San Jose, CA",Computer Science,2018
Apple,Data Engineer,"Seattle, WA",Computer Science,2021
Apple,Sales,"Houston, TX",Information Systems,2020
Stripe,Product Manager,"Austin, TX",Marketing,2016
Salesforce,Backend Engineer,"Seattle, WA",Information Systems,2022
Airbnb,Data Analyst,"Seattle, WA",Marketing,2020
Google,Product Manager,"San Francisco, CA",Business Analytics,2021
Apple,Data Engineer,"Seattle, WA",Finance,2020
Microsoft,Sales,"Boston, MA",Marketing,2022
Meta,Data Analyst,"New York, NY",Information Systems,2023
Tesla,Data Analyst,"Boston, MA",Finance,2021
Stripe,Product Manager,"New York, NY",Finance,2022
Amazon,Software Engineer,"San Jose, CA",Information Systems,2017
Airbnb,Data Engineer,"Boston, MA",Electrical Engineering,2024
Uber,Data Analyst,"San Francisco, CA",Marketing,2016
Tesla,Data Analyst,"Houston, TX",Computer Science,2019
Airbnb,Backend Engineer,"Cincinnati, OH",Computer Science,2019
Tesla,Backend Engineer,"San Jose, CA",Marketing,2019
Tesla,Product Manager,"New York, NY",Business Analytics,2017
Tesla,Software Engineer,"Houston, TX",Electrical Engineering,2015
Amazon,Data Scientist,"Austin, TX",Information Systems,2015
Microsoft,Data Engineer,"San Jose, CA",Marketing,2022
Amazon,Backend Engineer,"New York, NY",Marketing,2022
Tesla,Backend Engineer,"Austin, TX",Finance,2024
Airbnb,Product Manager,"Seattle, WA",Marketing,2019
Airbnb,Data Scientist,"Cincinnati, OH",Finance,2022
Amazon,Product Manager,"Seattle, WA",Computer Science,2020
Google,Product Manager,"Seattle, WA",Computer Science,2016
Google,Product Manager,"San Jose, CA",Computer Science,2020
Amazon,Product Manager,"Austin, TX",Marketing,2022
Microsoft,Backend Engineer,"Cincinnati, OH",Information Systems,2022
Airbnb,Product Manager,"San Jose, CA",Computer Science,2021
Stripe,Project Manager,"Boston, MA",Electrical Engineering,2015
Amazon,Software Engineer,"Boston, MA",Marketing,2020
Amazon,Product Manager,"Seattle, WA",Information Systems,2023
Uber,Backend Engineer,"Boston, MA",Information Systems,2019
Uber,Product Manager,"San Jose, CA",Electrical Engineering,2023
Amazon,Software Engineer,"San Francisco, CA",Computer Science,2018
Meta,Project Manager,"Cincinnati, OH",Electrical Engineering,2018
Airbnb,Software Engineer,"New York, NY",Electrical Engineering,2015
Airbnb,Data Analyst,"Cincinnati, OH",Business Analytics,2021
Tesla,Sales,"New York, NY",Information Systems,2019
Microsoft,Software Engineer,"San Francisco, CA",Marketing,2020
Google,Software Engineer,"Cincinnati, OH",Finance,2023
Meta,Software Engineer,"San Jose, CA",Information Systems,2016
Salesforce,Data Engineer,"Seattle, WA",Electrical Engineering,2016
Salesforce,Product Manager,"San Francisco, CA",Finance,2016
Airbnb,Data Scientist,"Austin, TX",Information Systems,2020
Microsoft,Data Analyst,"Boston, MA",Information Systems,2019
Uber,Data Scientist,"San Jose, CA",Computer Science,2022
Salesforce,Data Engineer,"San Jose, CA",Finance,2018
Tesla,Data Analyst,"New York, NY",Business Analytics,2016
Microsoft,Data Scientist,"Austin, TX",Information Systems,2022
Tesla,Data Analyst,"San Francisco, CA",Marketing,2023
Apple,Data Engineer,"New York, NY",Business Analytics,2016
Amazon,Backend Engineer,"Austin, TX",Business Analytics,2024
Microsoft,Data Scientist,"Seattle, WA",Marketing,2019
Tesla,Sales,"Austin, TX",Computer Science,2016
Airbnb,Data Analyst,"San Francisco, CA",Computer Science,2020
Meta,Data Analyst,"New York, NY",Marketing,2022
Tesla,Project Manager,"San Francisco, CA",Computer Science,2016
Meta,Software Engineer,"Houston, TX",Finance,2023
Meta,Project Manager,"New York, NY",Computer Science,2019
Stripe,Software Engineer,"Houston, TX",Information Systems,2018
Amazon,Data Scientist,"Boston, MA",Finance,2017
Microsoft,Backend Engineer,"New York, NY",Electrical Engineering,2015
Meta,Data Scientist,"Boston, MA",Marketing,2018
Apple,Backend Engineer,"San Jose, CA",Electrical Engineering,2015
Uber,Product Manager,"Seattle, WA",Electrical Engineering,2020
Apple,Product Manager,"Seattle, WA",Computer Science,2018
Airbnb,Data Scientist,"Austin, TX",Computer Science,2019
Stripe,Project Manager,"Houston, TX",Computer Science,2016
Apple,Backend Engineer,"Austin, TX",Computer Science,2016
Salesforce,Project Manager,"Houston, TX",Marketing,2020
Airbnb,Data Engineer,"Boston, MA",Finance,2018
Apple,Software Engineer,"Boston, MA",Computer Science,2023
Tesla,Product Manager,"Houston, TX",Electrical Engineering,2016
Stripe,Data Scientist,"San Jose, CA",Marketing,2019
Tesla,Data Analyst,"Boston, MA",Business Analytics,2021
Apple,Backend Engineer,"Seattle, WA",Electrical Engineering,2021
Meta,Data Analyst,"Boston, MA",Finance,2015
Apple,Data Analyst,"Seattle, WA",Electrical Engineering,2024
Salesforce,Data Scientist,"Cincinnati, OH",Electrical Engineering,2022
Microsoft,Sales,"New York, NY",Marketing,2016
Apple,Data Scientist,"San Jose, CA",Information Systems,2019
Microsoft,Product Manager,"New York, NY",Computer Science,2015
Microsoft,Sales,"San Jose, CA",Electrical Engineering,2021
Salesforce,Product Manager,"Boston, MA",Electrical Engineering,2021
Microsoft,Backend Engineer,"San Francisco, CA",Computer Science,2021
Microsoft,Backend Engineer,"Cincinnati, OH",Computer Science,2023
